starttime	seconds	ctime	dtime	ttime	wait
Mon Jan 30 17:51:22 2023	1675080382	0	1197	1197	1196
Mon Jan 30 17:51:22 2023	1675080382	0	1197	1197	1196
Mon Jan 30 17:51:37 2023	1675080397	0	1197	1197	1196
Mon Jan 30 17:51:38 2023	1675080398	0	1197	1197	1196
Mon Jan 30 17:51:15 2023	1675080375	0	1197	1197	1196
Mon Jan 30 17:51:39 2023	1675080399	1	1196	1197	1196
Mon Jan 30 17:51:37 2023	1675080397	0	1197	1197	1197
Mon Jan 30 17:51:39 2023	1675080399	0	1198	1198	1197
Mon Jan 30 17:51:38 2023	1675080398	0	1198	1198	1197
Mon Jan 30 17:51:36 2023	1675080396	0	1198	1198	1197
Mon Jan 30 17:51:39 2023	1675080399	0	1198	1199	1198
Mon Jan 30 17:51:36 2023	1675080396	1	1198	1199	1198
Mon Jan 30 17:51:32 2023	1675080392	0	1199	1199	1198
Mon Jan 30 17:51:33 2023	1675080393	0	1199	1199	1198
Mon Jan 30 17:51:29 2023	1675080389	0	1199	1199	1198
Mon Jan 30 17:51:34 2023	1675080394	0	1199	1200	1199
Mon Jan 30 17:51:37 2023	1675080397	0	1199	1200	1199
Mon Jan 30 17:51:30 2023	1675080390	0	1199	1200	1199
